,polarity,subjectivity
0,0.0,0.0
1,0.1,0.75
2,0.05,0.5
3,-0.371875,0.575
4,0.0,0.75
5,-0.05000000000000001,0.4125
6,0.0,0.0
7,0.3333333333333333,0.38888888888888884
8,0.005208333333333329,0.27604166666666663
9,0.12916666666666665,0.35694444444444445
10,0.0,0.0
11,0.43333333333333335,0.65
12,-0.1,0.5
13,0.0,0.0
14,0.0,0.1
15,-0.12916666666666668,0.5
16,-0.3333333333333333,0.6666666666666666
17,0.0,0.0
18,-0.2,0.0
19,-0.15,0.4
20,-0.10416666666666667,0.5416666666666666
21,0.0,0.8333333333333334
22,-0.15833333333333335,0.3333333333333333
23,0.0,0.0
24,0.7,0.8
25,0.0,0.0
26,0.3683333333333333,0.7566666666666666
27,0.2,0.2
28,-0.3375,0.5875
29,0.3666666666666667,0.7000000000000001
30,0.0,0.0
31,-0.1261904761904762,0.16190476190476188
32,0.09285714285714285,0.7678571428571428
33,0.10000000000000002,0.5333333333333333
34,0.22499999999999998,0.42500000000000004
35,0.0375,0.6
36,0.29097222222222224,0.638888888888889
37,0.0,0.0
38,0.5,0.5
39,-0.2916666666666667,0.675
40,0.3,0.5
41,0.0,0.0
42,0.15357142857142858,0.4857142857142857
43,0.04500000000000001,0.28500000000000003
44,0.3805555555555556,0.25277777777777777
45,0.1,1.0
46,0.12083333333333333,0.45833333333333337
47,-0.125,0.125
48,0.0,0.0
49,0.16666666666666666,0.3333333333333333
50,0.0,0.0
51,-0.03125,0.09375
52,0.13333333333333333,0.5333333333333333
53,0.05,0.6
54,0.0,1.0
55,0.2,0.2
56,-0.07333333333333333,0.54
57,0.29236111111111107,0.49722222222222223
58,0.12499999999999999,0.4847222222222222
59,-0.5,0.7
60,0.0,0.0
61,-0.4,0.6
62,0.0,0.0
63,-0.4,0.6
64,-0.1,0.2
65,-0.1,0.2
66,0.0,0.0
67,-0.24375000000000002,0.65
68,0.3,0.45
69,0.0,0.0
70,-0.5,0.7
71,0.0,0.3
72,-0.06000000000000001,0.34
73,-0.25,0.5
74,-0.075,0.625
75,0.0,0.4
76,-0.25,0.25
77,0.10000000000000002,0.2333333333333333
78,0.0,0.0
79,-0.2142857142857143,0.26785714285714285
80,-0.05625,0.225
81,-0.1,0.55
82,0.08333333333333334,0.21666666666666667
83,-0.21666666666666667,0.21666666666666667
84,-0.2777777777777778,0.34444444444444444
85,0.4333333333333333,0.7333333333333333
86,0.5,0.8888888888888888
87,0.0,0.0
88,0.20833333333333334,0.5083333333333333
89,0.0066666666666666706,0.41142857142857137
90,0.16818181818181818,0.35
91,-0.23750000000000002,0.5625
92,0.0,0.375
93,-0.06666666666666665,0.6958333333333333
94,-0.1875,0.5
95,-0.0625,0.4375
96,0.15,0.6865079365079365
97,-0.19345238095238096,0.47602040816326535
98,0.44999999999999996,0.8
99,0.4125,0.6708333333333334
100,0.028571428571428564,0.6452380952380952
101,0.0,0.25
102,0.12000000000000002,0.4699999999999999
103,0.1,0.4
104,0.09999999999999998,0.45111111111111113
105,0.18666666666666665,0.78
106,0.51875,0.9375
107,0.06818181818181818,0.4
108,0.175,0.325
109,0.21749999999999997,0.63
110,0.0,0.0
111,0.0,0.0
112,-0.006746031746031762,0.5865079365079365
113,-0.05,0.4
114,0.0,1.0
115,0.0,0.0
116,0.5,0.5
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,-0.4,0.7
124,0.09999999999999998,0.7
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.05,0.1
129,0.1,0.3
130,0.0,0.0
131,0.0,0.0
132,-0.4,0.7
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.16666666666666666,0.5
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.1,0.2
143,0.0,0.25
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.5,1.0
149,0.053125,0.528125
150,0.25854700854700857,0.5677350427350427
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.15,0.65
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.06666666666666667
160,0.0,0.0
161,0.0,0.0
162,0.7,0.2
163,0.0,0.0
164,0.0,0.0
165,-0.25,0.6875
166,-0.15,0.375
167,0.0,0.0
168,0.0,0.0
169,0.0,0.05
170,0.0,0.0
171,0.0,0.0
172,0.5,0.5
173,0.5,0.5
174,0.0,0.0
175,0.0,0.0
176,-0.07083333333333335,0.3583333333333333
177,0.2025,0.44999999999999996
178,0.06666666666666667,0.21666666666666667
179,0.0,0.0
180,-0.25,0.55
181,0.08749999999999998,0.7166666666666667
182,-0.4,0.7
183,0.5,0.5
184,0.175,0.325
185,0.0,0.0
186,0.0,0.0
187,-0.09027777777777779,0.20694444444444446
188,-0.475,0.8
189,0.0,0.0
190,0.0,0.0
191,-0.15555555555555559,0.2888888888888889
192,-0.2916666666666667,0.5416666666666666
193,-0.2,0.0
194,0.0,0.0
195,0.25,0.3333333333333333
196,0.0,0.0
197,0.1,0.2
198,0.5,0.5
199,0.30000000000000004,0.475
200,0.6,1.0
201,0.0,0.0
202,0.0,0.0
203,-0.04250000000000001,0.5975
204,0.24444444444444446,0.47222222222222227
205,-0.4,0.7
206,-0.09722222222222221,0.26944444444444443
207,0.0,0.0
208,0.05833333333333333,0.3875
209,0.0625,0.3125
210,-0.4,0.7
211,0.18166666666666667,0.4772222222222222
212,0.0,0.0
213,0.0,0.5
214,0.0,0.0
